duration,intensity_
6,1.6875314481169301
18,2.2274198893882584
5,1.4701637667331044
5,1.4163773211063906
6,3.2105257897119586
7,2.4392185447197967
11,1.7887848695065438
7,2.20103696066864
8,2.4571296273429866
6,2.8944745575434556
5,2.6519483311282634
7,2.0071298180777877
5,2.685565470250795
10,3.637821657387459
13,2.7011678382878284
6,2.1334533262767756
7,2.086262179201767
11,2.848914340327756
6,2.632637993842464
6,2.6483570827166076
18,4.063651935203907
12,2.765596470014213
43,2.4584540555831906
50,4.654539441191099
27,3.2731941057350635
13,4.2740865485526385
28,3.769261295127258
17,3.093141736711045
5,2.17534190725139
57,2.627485221532078
13,2.3572218281458603
19,2.7080400004065304
9,2.7117380250422833
7,2.8674248429615083
7,1.7009286392280973
54,3.1653416783695913
16,2.2571173097140598
6,1.9573131560284764
5,2.4143505659370232
18,2.5499255811360806
17,3.507324072030892
14,3.78503474512263
9,2.920895162494853
14,1.7021496114681325
25,2.2213999880275392
11,2.221482044691893
7,2.229065225199493
16,3.555017854855663
10,3.9891809906240354
7,2.658881936093744
20,4.309762613801459
19,2.8789854429746438
50,3.4235053677354585
94,4.559320174011433
18,2.1168367790811944
9,2.9978721769279684
22,4.647986261887118
28,3.948107063559627
6,1.899149485643406
11,5.014431154829223
31,4.300738853479237
5,2.2115663585379846
15,1.8217427483339677
